state,ecoregion,waterbody_name,common_name,method,waterbody_type,year,effort,total_length,weight
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,362,589
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,173,117
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,253,161
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,336,514
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,309,355
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,340,492
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,313,377
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,335,543
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,315,402
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,357,557
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,345,601
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,285,290
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,400,927
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,337,587
Arizona,10 North American Deserts,Alamo Lake,Largemouth Bass,boat_electrofishing,large_standing_waters,2020,1202,265,212
