"type","area","waterbody_name","common_name","method","waterbody_type","year","effort","total_length","weight"
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2021,750,420,365
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2021,750,306,387
"state","Arizona","Bass lake","Smallmouth Bass","boat_electrofishing","small_standing_waters",2021,750,326,312
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,456,907
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,350,809
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,306,798
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,480,845
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,395,836
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,372,876
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,326,798
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,416,922
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,459,914
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,371,958
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,437,815
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,448,934
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,458,789
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,490,767
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,350,509
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,348,465
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,295,426
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,359,476
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,420,365
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,306,387
"all","North America","Bass lake","Bluegill","boat_electrofishing","small_standing_waters",2021,750,326,312
